,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,index_right,lat_bin,lon_bin,AMR_lowest,AMR_surf,AOD,B4LI,CAPE,CAPE_lowest,CAPE_nc,CAPE_surf,CCN_0.5_cm3,CCN_0.5_mg,CCN_1.0_cm3,CCN_1.0_mg,CIN0,CIN180,CIN255,Cloud_fra,D14_0.5,D14_1.0,Frac_CLD,Frac_Re,GH1000,GH500,GH700,GH850,H14_0.5,H14_1.0,H14s_0.5,H14s_1.0,HGT,H_LCL_lowest,H_LCL_nc,H_LCL_surf,H_tro,Have,Hcb0.5,Hcb1.0,Hcbs0.5,Hcbs1.0,Hmax,Hmin,Hsd,Htop0.5,Htop1.0,L/S,LSM,LTS,Mean_Cv,Mean_Re,Ndelta0.5,Ndelta1.0,PBLH,PR,PTEM700,PTEMS,PW,P_LCL_nc,P_tro,Pcb0.5,Pcb1.0,Press,Ptop0.5,Ptop1.0,RH2,RH2m,Recb0.5,Recb1.0,Retop0.5,Retop1.0,SH2,SLI,SMR_lowest,SMR_surf,SRH,SST,SS_0.5_mg,SS_1.0_mg,T1000,T14_0.5,T14_1.0,T2m,T2m_NCEP,T500,T700,T850,TD2,TOZONE,TSURF,T_LCL_lowest,T_LCL_nc,T_LCL_surf,T_coal0.5,T_coal1.0,T_diff0.5,T_diff1.0,T_glac0.5,T_glac1.0,T_mix0.5,T_mix1.0,T_rain0.5,T_rain1.0,T_tro,Tb_f,Tcb0.5,Tcb1.0,Tsfc_NPP,Tskin,Tskin_NCEP,Ttop0.5,Ttop1.0,U10m(m/s),V10m(m/s),WDIR10,WDIR1000,WDIR500,WDIR700,WDIR850,WDIR900,WDIR925,WSPD10,WSPD1000,WSPD500,WSPD700,WSPD850,WSPD900,WSPD925,Wb_0.5,Wb_1.0,big_c,big_r,btd_a_0.5,btd_a_1.0,btd_c_0.5,btd_c_1.0,btd_m_0.5,btd_m_1.0,colum,lat,lon,relaz,row,satz,solz,sound_D(km),sound_ID,sound_hour,sumN_0.5,sumN_0.5_sumN_1.0,sumN_1.0,winNO
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1400,22.75,113.5,,,,-4.900000095367432,1629.0,,1986.0,,3799.0,3483.0,3799.0,3483.0,-1.7999999523162842,-2.0,-1.7999999523162842,0.0201,,,0.0571,0.0433,15.239999771118164,5848.16015625,3107.469970703125,1452.5400390625,,,,,1.0,,1071.1,,16944.0,5.0,572.0,572.0,648.0,648.0,210.0,0.0,16.0,5637.0,5637.0,1.0,1.0,9.460000038146973,-0.5818,9.08,346.0,346.0,1222.0400390625,0.0,42.11000976562502,32.649987792968766,61.0,884.0,96.0,939.0,939.0,1001.0,513.0,513.0,59.599998474121094,61.0,6.2,6.2,12.0,12.0,0.019999999552965164,-5.0,,,41.0,,0.05,0.05,32.649987792968766,,,33.6,33.16,-2.449987792968728,11.550012207031276,20.550012207031273,24.749993896484398,276.10000610351557,37.55001220703127,,22.9,,7.0,7.0,27.0,27.0,,,,,,,-79.1,27.0,27.0,27.0,35.0,37.0,37.05,-2.0,-2.0,0.44,-1.99,11.99,13.71,98.83,59.86,46.82,36.14,29.51,1.830000042915344,2.1099998950958248,8.279999732971191,7.75,6.449999809265138,4.0900001525878915,3.390000104904175,0.58,0.58,3520.0,3264.0,235.0,235.0,235.0,235.0,0.0,0.0,3520.0,22.956,113.5227,20.15,3072.0,8.27,20.38,,,,185.0,1.0,185.0,23007.0
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1469,23.0,113.5,,,,-1.100000023841858,320.0,,445.0,,247.0,283.0,247.0,283.0,-3.0,-10.699999809265137,-2.5,0.5654,1692.0,1692.0,0.9095,0.5654,-39.61000061035156,5804.3798828125,3042.81005859375,1389.8800048828125,5309.0,5309.0,3391.0,3391.0,17.0,,698.4,,16480.0,12.0,2837.0,2837.0,1699.0,1699.0,399.0,0.0,33.0,7793.0,7793.0,1.0,1.0,11.789999961853027,-0.3897,14.27,720.0,720.0,1100.0,0.3499999940395355,42.43999633789065,30.64998779296877,74.0,915.0,104.0,717.0,717.0,993.0,388.0,388.0,69.09999847412111,72.0,9.7,9.7,16.9,16.9,0.019999999552965164,-1.2999999523162842,,,80.0,,0.44,0.44,30.450006103515648,2.0,2.0,29.5,29.52,-0.3500122070312273,11.850000000000026,18.850000000000023,23.850000000000023,269.60000610351557,29.749993896484398,,22.6,,13.0,13.0,,,,,-11.0,-11.0,,,-76.5,13.0,13.0,13.0,5.0,29.3,29.29,-12.0,-12.0,-3.37,-3.27,44.2,44.77,87.5,62.28,53.28,46.98,45.24,4.579999923706055,5.309999942779541,19.229999542236328,11.350000381469727,12.90999984741211,11.460000038146973,10.239999771118164,1.53,1.53,3232.0,6144.0,8379.0,8379.0,7371.0,7371.0,1008.0,1008.0,3136.0,23.0125,113.5903,200.07,5952.0,-3.38,18.06,,,,5211.0,1.0,5211.0,1108.0
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1532,23.25,113.5,,,,-0.8999999761581421,637.0,,875.0,,214.0,275.0,214.0,275.0,-3.0,-2.900000095367432,-2.900000095367432,0.2635,1385.0,1385.0,0.6687,0.2765,-36.33000183105469,5808.759765625,3046.030029296875,1391.5,5918.0,5918.0,3578.0,3578.0,188.0,,703.0,,16674.0,72.0,3952.0,3952.0,2193.0,2193.0,428.0,3.0,66.0,6684.0,6684.0,1.0,1.0,10.890000343322754,-0.2123,13.19,769.0,769.0,889.0399780273438,0.2700000107288361,42.43999633789065,31.550012207031273,70.0,898.0,101.0,628.0,628.0,975.0,448.0,448.0,70.0,72.0,12.4,12.4,14.5,14.5,0.019999999552965164,-1.7000000476837158,,,105.0,,0.59,0.59,31.050012207031273,-1.0,-1.0,30.4,29.52,-0.14999999999997726,11.850000000000026,19.249993896484398,24.050012207031273,271.60000610351557,29.550012207031273,,23.4,,3.0,3.0,8.0,8.0,,,,,,,-76.8,8.0,8.0,8.0,4.0,31.2,29.29,-5.0,-5.0,-2.51,-3.82,39.77,40.27,89.08,68.32,52.94,45.54,43.51,4.6599998474121085,5.400000095367432,20.030000686645508,12.18000030517578,13.15999984741211,11.350000381469727,10.079999923706056,1.97,1.97,3232.0,5856.0,6184.0,6184.0,4152.0,4152.0,2032.0,2032.0,3136.0,23.3253,113.5099,201.01,5856.0,-3.38,18.16,,,,2428.0,1.0,2428.0,3302.0
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1533,23.25,113.75,,,,-1.3466666539510088,776.6666666666665,,678.0,,884.0,859.3333333333335,884.0,859.3333333333335,-0.033333333830038704,-0.8000000317891439,-1.7666667302449544,0.4712000000000001,3231.0,3231.0,0.5052333333333333,0.4742666666666666,-10.663333574930826,5823.986653645832,3066.383382161459,1414.180013020833,6256.0,6256.0,4404.0,4404.0,387.33333333333326,,674.3000000000002,,16719.333333333332,111.66666666666669,1449.666666666667,1449.666666666667,1125.6666666666667,1125.6666666666667,1017.3333333333335,3.0,121.0,5317.0,5317.0,1.0,1.0,11.060000101725258,-0.25680000000000003,10.026666666666667,604.3333333333334,607.6666666666666,1204.02001953125,0.03333333258827528,42.4766784667969,31.41666056315107,59.66666793823242,883.0,100.0,847.6666666666665,847.6666666666665,956.0,540.3333333333334,540.3333333333334,63.67666625976562,72.66666666666667,7.0,7.0,11.866666666666667,11.866666666666667,0.019999999552965164,-1.2799999713897705,,,54.113333384195954,,0.19000000000000006,0.19000000000000006,30.893334960937523,-3.0,-3.0,28.1,30.706666666666663,-1.083329264322894,11.883325195312526,18.84998982747398,23.06332804361982,275.8099975585937,32.556665039062516,,21.366666666666664,,21.0,21.0,16.5,16.5,,,-7.0,-7.0,,,-77.3,19.666666666666668,19.666666666666668,19.666666666666668,26.66666666666667,29.066666666666666,33.69333333333333,1.0,1.0,-1.3599999999999997,-2.6333333333333333,33.48333333333333,34.63333333333333,171.7766666666666,49.11333333333334,39.803333333333335,36.086666666666666,36.10333333333333,3.2233333985010777,3.879999915758769,13.606666247049965,8.113333384195963,8.890000025431315,6.9099998474121085,6.0600000222523995,1.0133333333333334,1.0133333333333334,3328.0,4501.333333333333,4586.333333333333,4586.333333333333,4512.0,4512.0,74.33333333333333,74.33333333333333,3232.0,23.370500000000003,113.86803333333334,111.46,4501.333333333333,-0.47,17.953333333333333,,,,4331.666666666667,0.9966666666666668,4342.666666666667,13535.333333333336
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1531,23.25,113.25,,,,-4.900000095367432,1639.0,,1182.0,,1752.0,1614.0,1752.0,1614.0,-2.299999952316284,0.0,-2.299999952316284,0.5314,4769.0,4769.0,0.5660000000000001,0.5394,16.420000076293945,5850.0,3109.0400390625,1453.6600341796875,6077.0,6077.0,5442.0,5442.0,188.0,,993.5,,16961.0,54.0,617.0,617.0,673.0,673.0,355.0,0.0,53.0,14842.0,14842.0,1.0,1.0,9.06999969482422,-0.6073,12.04,402.0,402.0,1235.0,0.0,42.21999511718752,33.149987792968766,57.79999923706055,874.0,96.0,935.0,935.0,981.0,140.0,140.0,60.599998474121094,63.0,4.0,4.0,39.0,39.0,0.019999999552965164,-5.0,,,43.0,,0.07,0.07,32.95000610351565,-4.0,-4.0,32.2,33.56,-2.449987792968728,11.649987792968776,20.450006103515648,24.749993896484398,276.20001220703125,36.14998779296877,,22.3,,27.0,27.0,,,-32.0,-32.0,-7.0,-7.0,,,-78.9,27.0,27.0,27.0,37.0,33.6,36.99,-66.0,-66.0,-0.87,-1.6,21.58,23.13,96.53,62.58,46.26,37.65,32.7,1.9600000381469729,2.240000009536743,9.149999618530273,7.769999980926514,5.800000190734862,3.9800000190734863,3.390000104904175,0.61,0.61,3520.0,2976.0,5134.0,5134.0,5090.0,5090.0,44.0,44.0,3520.0,23.2692,113.4458,20.95,2976.0,8.27,20.49,,,,4897.0,1.0,4897.0,25201.0
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1598,23.5,113.75,,,,-2.616000001430512,1088.6,,1001.8,,704.2,697.8,723.4,715.8,-6.378000020980835,-2.147999954223633,-8.154999986290933,0.29496,1938.4,2076.75,0.35672000000000004,0.31548000000000004,4.20600015449524,5841.3479140625,3086.93001953125,1430.8240078125,3974.6,3954.25,3274.8,3376.5,403.2,,915.66,,16701.8,281.2,1493.6,1452.8,1336.4,1316.0,1050.6,12.2,217.2,5525.6,5525.6,1.0,1.0,9.13799998092651,-0.50722,11.918,534.6,543.4,1217.0260009765625,0.0019999999552965165,42.72800366210939,33.5900085449219,56.31999938964843,859.0,100.6,844.4,848.4,955.0,528.8,528.8,63.98,66.0,7.479999999999999,7.42,16.3,16.3,0.01999999964237213,-3.1060000613331797,,,58.14999961853027,,0.218,0.21,32.25600341796877,7.8,7.75,30.4,30.031999999999996,1112.526002441407,12.110003662109401,248.36599999999993,22.649995422363304,277.93999633789065,33.6499987792969,,21.32,,17.2,17.2,17.0,17.5,,,-11.0,-11.0,,,-77.84,20.6,20.4,20.6,26.6,32.52,32.096,-0.6,-0.6,-0.5660000000000001,-2.356,175.95999999999995,167.878,127.754,73.598,43.424,155.282,169.408,6.7140000562667845,3.2720000143051156,9.18000025844574,6.264000004768372,5.586000158309936,16.72600065422058,4.1419999361038204,1.2040000000000002,1.1840000000000002,3001.6,4992.0,3012.0,3012.0,3012.0,3012.0,0.0,0.0,2924.8,23.60618,113.8409,182.21400000000003,4915.2,-9.782,16.294,,,,2623.6,0.988,2718.2,9984.2
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1597,23.5,113.5,,,,-3.400000095367432,1214.0,,1146.0,,1138.0,1072.0,1138.0,1072.0,-1.399999976158142,-2.799999952316284,-1.399999976158142,0.1126,3539.0,3539.0,0.1436,0.1232,27.15999984741211,5853.89990234375,3110.2099609375,1454.3399658203125,4819.0,4819.0,4329.0,4329.0,490.0,,758.9,,16915.0,288.0,846.0,846.0,790.0,790.0,1044.0,15.0,223.0,5986.0,5986.0,1.0,1.0,8.699999809265138,-0.4483,10.82,664.0,685.0,1090.0400390625,0.0,42.55001220703127,33.850000000000016,49.29999923706055,867.0,97.0,911.0,911.0,948.0,492.0,492.0,67.19999694824219,70.0,5.4,5.4,14.8,14.8,0.019999999552965164,-3.7999999523162837,,,62.0,,0.1,0.1,32.2499938964844,3.0,3.0,29.9,29.89,-1.850012207031228,11.950006103515651,20.249993896484398,23.850000000000023,276.60000610351557,32.2499938964844,,22.3,,23.0,23.0,26.0,26.0,,,,,,,-78.4,26.0,26.0,26.0,34.0,31.1,31.13,-2.0,-2.0,-1.26,-1.56,37.9,38.34,95.02,64.94,49.57,43.19,40.46,1.7699999809265137,1.950000047683716,10.279999732971193,8.670000076293945,4.699999809265137,3.140000104904175,2.5899999141693115,0.71,0.71,3808.0,2976.0,1210.0,1210.0,1210.0,1210.0,0.0,0.0,3616.0,23.6368,113.7394,21.47,2880.0,11.18,20.93,,,,1038.0,1.0,1038.0,25106.0
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1596,23.5,113.25,,,,-2.994999945163727,928.0,,804.0,,1096.5,1073.0,1096.5,1073.0,0.20499999821186066,-0.3449999988079071,0.20499999821186066,0.5202,3231.0,3231.0,0.5710999999999999,0.52095,15.639999389648436,5843.08984375,3095.5050048828125,1442.2649536132812,5398.0,5398.0,4217.5,4217.5,207.5,,630.7,,16873.0,95.0,1340.0,1340.0,986.5,986.5,443.5,7.0,80.0,13749.0,13749.0,1.0,1.0,11.764999866485596,-0.5172,20.675,343.0,343.0,867.3600006103516,0.10000000149011612,42.11499938964846,30.35000000000002,63.49999809265137,909.0,97.5,860.5,860.5,978.0,174.5,174.5,72.04999923706055,75.5,7.55,7.55,38.95,38.95,0.019999999552965164,-3.215000033378601,,,45.29999923706055,,0.135,0.135,30.05500183105471,0.0,0.0,29.0,29.015,-2.0000061035156027,11.554986572265651,19.55500183105471,24.17499694824221,276.56500244140625,31.90999755859377,,22.700000000000006,,21.0,21.0,,,-20.0,-20.0,-9.0,-9.0,,,-77.45,21.0,21.0,21.0,30.0,30.200000000000006,30.19,-57.0,-57.0,0.06,-0.8150000000000001,162.82,163.98999999999995,88.19,62.19,58.35,45.585,20.765,1.9099999666213991,2.0149999856948853,8.804999828338623,6.914999961853027,4.514999985694884,3.24999988079071,2.6100000143051147,0.89,0.89,3520.0,4272.0,5021.0,5021.0,4900.5,4900.5,120.5,120.5,3520.0,23.623,113.3493,23.630000000000006,4176.0,8.265,21.32,,,,4766.5,0.995,4794.0,15304.0
0,45,CHN,China,576,Guangdong,9809,Guangzhou,Guangzhou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,6.049119,0.630133,1663,23.75,113.75,,,,-1.862500011920929,586.75,,607.5,,1487.0,1506.0,1487.0,1506.0,-1.604999989271164,-3.0174999237060547,-1.3875000029802322,0.250175,2923.0,2923.0,0.312,0.257425,15.32499986886978,5849.989990234375,3095.4099731445312,1442.5899963378906,4604.0,4604.0,4289.0,4289.0,485.5,,1084.3,,16620.75,345.5,1551.25,1551.25,1251.0,1251.0,989.25,73.0,172.25,5751.5,5751.5,1.0,1.0,9.389999985694883,-0.3662,9.695,601.75,603.0,1271.3450012207034,0.014999999664723871,42.85500488281252,33.464997863769554,53.625,835.25,101.75,839.25,839.25,947.5,509.75,509.75,57.5024995803833,61.0,6.125,6.125,10.1,10.1,0.019999999552965164,-2.059999942779541,,,44.6725001335144,,0.155,0.155,32.31500396728518,5.0,5.0,29.875,29.8675,-2.1999954223632594,12.225007629394558,19.824990844726585,21.715005493164085,277.86249542236334,33.642503356933624,,19.125,,19.5,19.5,15.0,15.0,,,-7.0,-7.0,,,-77.5,20.25,20.25,20.25,28.75,31.65,31.6575,-1.5,-1.5,-0.7374999999999999,-1.1699999999999997,126.615,128.26749999999998,144.29000000000005,67.75,48.4025,42.5925,41.08750000000001,2.0375000089406967,2.4650000631809235,9.9375,7.259999990463258,5.187500059604645,3.9924999475479126,3.5374999344348907,1.1275,1.1275,2944.0,3832.0,2668.25,2668.25,2612.5,2612.5,55.75,55.75,2848.0,23.874475000000004,113.829225,184.045,3736.0,-12.11,14.650000000000002,,,,2305.5,1.0,2305.5,18805.0
1,45,CHN,China,576,Guangdong,9811,Huizhou,Hu锟絲hou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,9.867862,0.997726,1403,22.75,114.5,,,,2.6,0.0,,4.0,,127.0,132.0,127.0,132.0,0.0,0.0,,0.1467,154.0,154.0,0.2486,0.189,11.89,5847.51,3093.08,1443.44,2229.0,2229.0,1923.0,1923.0,50.0,,1610.9,,17328.0,73.0,1938.0,1938.0,1769.0,1769.0,549.0,0.0,75.0,4546.0,4546.0,1.0,1.0,7.25,-0.3407,16.74,157.0,168.0,1831.2,0.12,41.890000000000036,34.640000000000036,52.0,825.0,90.0,802.0,802.0,995.0,587.0,587.0,42.8,47.0,12.1,12.1,23.6,23.6,0.01,2.3,,,,,0.63,0.63,33.850000000000016,15.0,15.0,33.8,31.52,5574.360000000002,11.350000000000026,1170.29,,291.4,30.850000000000023,,17.8,,16.0,16.0,,,,,,,,,-80.2,16.0,16.0,16.0,17.0,35.4,30.68,5.0,5.0,-1.51,-2.16,38.09,81.87,12.53,78.0,49.99,61.95,72.86,14.1,3.68,1.38,8.66,7.31,5.36,4.75,1.59,1.59,3808.0,5568.0,1780.0,1780.0,1780.0,1780.0,0.0,0.0,3808.0,22.909,114.5042,13.97,5568.0,17.03,19.56,,,,1352.0,1.0,1352.0,5301.0
1,45,CHN,China,576,Guangdong,9811,Huizhou,Hu锟絲hou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,9.867862,0.997726,1472,23.0,114.5,,,,-3.352499961853028,1333.0,,1454.25,,654.5,622.5,654.5,622.5,-1.5499999821186066,-2.074999988079071,-1.3100000023841858,0.260975,1846.0,1846.0,0.28665,0.262775,8.862499713897705,5843.6224365234375,3096.2699584960938,1440.6325073242188,3454.666666666666,3454.666666666666,2839.333333333333,2839.333333333333,209.0,,844.225,,16667.75,145.0,1174.25,1174.25,1012.5,1012.5,895.0,10.5,168.25,5462.25,5462.25,1.0,1.0,9.554999947547913,-0.52895,12.8075,779.25,785.0,1187.0249938964846,0.0949999988079071,42.55249938964846,32.99499664306643,57.42500019073486,885.75,101.0,877.0,877.0,977.0,529.75,529.75,64.0049991607666,68.5,7.574999999999998,7.574999999999998,12.45,12.45,0.019999999552965164,-3.7625001072883606,,,35.994999885559075,,0.1975,0.1975,32.29999694824221,10.0,10.0,30.975,30.027500000000003,-1.94750061035154,11.94999847412112,20.32499847412112,23.93250427246096,272.134994506836,33.4475036621094,,22.55,,22.0,22.0,24.0,24.0,,,,,,,-78.3,22.5,22.5,22.5,31.25,32.675,30.9775,0.0,0.0,-0.9575,-1.0225,135.765,135.75,80.105,55.87,44.87,130.28,130.715,3.0499999821186066,3.6174999475479126,9.51499992609024,7.357500076293945,6.537500083446503,5.777500092983246,5.370000004768372,0.91,0.91,3520.0,3768.0,2612.0,2612.0,2602.5,2602.5,9.5,9.5,3424.0,23.14415,114.6825,66.97999999999999,3648.0,5.3675,20.485,,,,2405.25,1.0,2405.25,19155.75
1,45,CHN,China,576,Guangdong,9811,Huizhou,Hu锟絲hou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,9.867862,0.997726,1474,23.0,115.0,,,,-4.007500016689301,1413.5,,1573.5,,897.5,860.75,897.5,860.75,-1.237499966286123,-2.1924999505281453,-1.460000056773424,0.16005,2577.25,2577.25,0.18655,0.161175,12.125000147819517,5842.607587890625,3099.7974682617187,1445.1500061035156,4101.75,4101.75,3530.5,3530.5,182.5,,951.075,,16876.25,270.5,1048.75,1048.75,953.25,953.25,1053.5,26.25,180.5,8039.75,8039.75,1.0,1.0,8.250000023841858,-0.6267,14.6675,708.5,710.25,1372.0149743652346,0.007499999832361936,42.47000427246096,34.21999816894534,55.94999942779541,877.0,97.25,889.5,889.5,980.0,391.25,391.25,60.84999942779541,64.5,6.699999999999998,6.699999999999998,21.225,21.225,0.019999999664723874,-4.512500011920929,,,50.63666598002115,,0.14250000000000002,0.14250000000000002,33.28250732421877,6.5,6.5,31.925,31.3925,1390.3075024414065,11.874998474121115,313.8875030517579,23.916670735677105,277.9625015258789,33.22500457763674,,22.450000000000006,,22.75,22.75,24.0,24.0,-17.0,-17.0,-7.0,-7.0,,,-78.0,23.25,23.25,23.25,33.25,33.525,32.627500000000005,-16.25,-16.25,-0.4925000000000001,0.3499999999999999,132.235,150.265,84.00750000000002,127.9725,42.8425,138.315,142.9275,6.9199999976158155,1.977499974966049,7.105000209808348,6.915000061988831,4.032500076293945,2.977500009536743,2.71,0.8599999999999999,0.8599999999999999,3520.0,3480.0,1678.75,1678.75,1676.5,1676.5,2.25,2.25,3424.0,23.18305,115.09955,100.8425,3360.0,5.3675,17.959999999999994,,,,1474.75,1.0,1474.75,21355.75
1,45,CHN,China,576,Guangdong,9811,Huizhou,Hu锟絲hou,???,,,D锟絡锟絪h?,Prefecture City,Unknown,Present,,9.867862,0.997726,1473,23.0,114.75,,,,-4.540000009536743,1499.5,,1559.0,,969.5,929.0,969.5,929.0,-1.4450000524520874,-2.869999885559082,-2.3199999332427983,0.1328,3846.0,3846.0,0.1974,0.13255,14.274999914169312,5846.18490234375,3105.38998046875,1450.339990234375,5033.0,5033.0,4694.0,4694.0,234.5,,1114.9,,16878.5,201.5,1100.5,1100.5,1105.0,1105.0,899.0,13.0,179.0,6247.5,6247.5,1.0,1.0,7.875000047683716,-0.55745,14.23,530.5,530.5,1552.7549853515625,0.0,42.775006103515636,34.899993896484396,56.400000762939456,855.5,97.0,884.5,884.5,974.5,477.5,477.5,53.39999961853027,59.5,4.7,4.7,12.25,12.25,0.019999999776482584,-4.964999961853027,,,66.59999847412111,,0.15,0.15,34.06500549316408,0.0,0.0,32.45,32.465,2782.709996948243,12.149996948242205,607.6250030517581,22.950006103515648,282.9499969482422,35.75000305175783,,21.4,,21.0,21.0,23.5,23.5,,,-11.0,-11.0,,,-76.55,23.5,23.5,23.5,31.0,33.9,33.905,-5.5,-5.5,-0.7150000000000001,-0.025000000000000026,206.315,63.97,90.095,201.595,41.605,48.075,53.765,12.835,2.59,7.740000152587888,5.914999923706055,5.129999971389769,3.7949999332427984,3.385000033378601,0.995,0.995,3232.0,3984.0,1404.0,1404.0,1402.0,1402.0,2.0,2.0,3040.0,23.15505,114.7883,181.055,3888.0,-6.28,14.48,,,,1224.0,1.0,1224.0,17606.0
